"Source:","C:\Users\Tran Tin Duy\Desktop\HW Bảo Bảo\HW1\HW1\HW1.kicad_sch"
"Date:","1/13/2024 5:04:09 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\Tran Tin Duy\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino_UNO_R3","Arduino_UNO_R3","Module:Arduino_UNO_R3","Arduino UNO Microcontroller Module, release 3","",""
"D1, D2, D3, D4, D5, D6, D7, D8","8","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"R1, R2, R3, R4, R5, R6, R7, R8","8","100","R","Resistor_SMD:R_0603_1608Metric","Resistor","",""
